SKU,Product,Supplier,Supplier SKU,Supplier Product Name,Latest Price,Fixed Price
R12/N/1AB12/FL,Torx Security Screw 8g Dish and Mesh Button (304) Stainless Steel 8g x 1/2,Cost Less Bolts,ST812BPTS,CL #8g x1/2 SS 304 POST TORX BUTTON STS,0.41,0.41
R12/N/1AB12/FL,Torx Security Screw 8g Dish and Mesh Button (304) Stainless Steel 8g x 1/2,Micro Fasteners Pty. Ltd.,S35 0812PTSS,8g x 1/2 Button Post Torx Security Scr Gr 304 S/S,0.2322,0.192
R120/W/34AWM/FL,Adapter Brass 20mm - 15mm for Water Meter WM: AS 3688,Austworld Commodities Pty Ltd,AW478,ADAPTOR M X F REDUCING BR 20FI X 15MI,1.1003,1.2
R121/N/34AWM/FX,Bracket 12 Water Meter,Beta Metal Spinning Co. Pty. Ltd.,WMB12,WATER METER BRACKET,7.85,7.85
R122/N/34AWM/FX,Support Ring Water Meter,Bredo Mators Pty. Ltd.,WMR12,,9.8,9.8
R123/W/34AWM/ID,Water Meter Measuring Cold Potable Water 15mm,Elster Metering Pty. Ltd.,50800/02,METER 15MM V100 G20,49.7,49.7
R124/N/34AWM/ID,Button Socket Screw Plain for Water Meter M5 x 10mm,Micro Fasteners Pty. Ltd.,U27 05010PL,M5 x 10mm Button Socket Scr Plain,0.0753,0.0725
R125/W/33PMWIC7/C15/FL,Straight Adaptor 3/8 x 1/2 bsp 7/15L Chiller Connection,Reliance Worldwide Corporation Pty. Ltd.,PI011224S,,3.42,3.07
R126/N/AC,5.0mm Aluminium Tread Foot Pedal,AG Holding,AQA1002A,Aluminium Pedal (No CSK),3.35,3.35
R127/W/ASM-39AFPS/FL,Top Tap Dispenser Eco Brass,Bredo Mators Pty. Ltd.,,Top Tap Dispenser Eco Brass,26.8,26.8
R127/W/FL,S/S - Top Tap Dispenser,BERKELEY ENGINEERING GROUP PTY LTD,,,39.5,39.5
R128/W/ASM-39AFPS/FL,Side Tap Dispenser Eco Brass,Bredo Mators Pty. Ltd.,,Side Tap Dispenser Eco Brass,24.2,24.2
R128/W/FL,S/S - Side Tap Dispenser,BERKELEY ENGINEERING GROUP PTY LTD,,,38.1,38.1
R129/W/AC,Universal Tap Body Eco Brass,Bredo Mators Pty. Ltd.,,,24.8,24.8
R13/N/1AB12/FX,Pop Rivets 3.2mm x 8.2mm Domed Head Aluminium,Bunnings - Port Melbourne,RVOA3264K,4-3 Dome Hd Rivet Al/Stl (3.2 x 8.0),0.0188,0.0207
R13/N/1AB12/FX,Pop Rivets 3.2mm x 8.2mm Domed Head Aluminium,Micro Fasteners Pty. Ltd.,R00 403AS,4-3 Dome Hd Rivet Al/Stl (3.2 x 8.0),0.0146,0.0319
R130/W/TBC/FL,Universal Tap Plug Acetal,Bredo Mators Pty. Ltd.,,Universal Tap Plug Acetal,2.9,2.9
R131/W/FL,Hex Connector Top Acetal with O-Ring groove,Bredo Mators Pty. Ltd.,,Hex Connector Top Acetal with O-Ring groove,3.8,3.8
R132/W/FL,Hex Connector Side Acetal with O-Ring groove,Bredo Mators Pty. Ltd.,,Hex Connector Side Acetal with O-Ring groove,3.8,3.8
