ProductCode,MinimumBeforeReorder,ReorderQuantity
R213/N/FX,100 ,1000 
R&V-Wheel Chair Pod Only-Teal 338 2,2 ,2 
R201/N/1AB12/FX,100 ,500 
R196/W/1AB12/FL,20 ,100 
R200/N/1AB12/FX,20 ,100 
R247/N/FX,15 ,15 
