Item SKU,Item Description,Supplier
R67/N/TRF67/FL,Raw - Exit Nozzle Stainless Steel (303/304) Part No. 09/008,Berkeley Engineering Group Pty. Ltd.
R69/W/AV,Valve Spindle Hex Stainless Steel (303/304),Berkeley Engineering Group Pty. Ltd.
R77/N/TRF77/AV,Raw - Press Button Stainless Steel,Berkeley Engineering Group Pty. Ltd.
R08/N/1AB12/FL,Sump Mesh Assembly 2016,Beta Metal Spinning Co. Pty. Ltd.
R121/N/34AWM/FX,Bracket 12 Water Meter,Beta Metal Spinning Co. Pty. Ltd.
R172/N/FL,Dog Bowl DB 001 + Bracket DB 003,Beta Metal Spinning Co. Pty. Ltd.
R206/N/21PFL/PT,Fountain Drain Polished,Beta Metal Spinning Co. Pty. Ltd.
R207/N/21PFL/PT,Fountain Cone Polished,Beta Metal Spinning Co. Pty. Ltd.
R36/N/4ABS14/FX,Base Plate for ABS14,Beta Metal Spinning Co. Pty. Ltd.
R40/N/17PDGT/FX,Universal Tap Mounting Plate for Dog Bowl Tap,Beta Metal Spinning Co. Pty. Ltd.
R96/N/TRF96/FL,Raw - Fountain Dish Stainless Steel,Beta Metal Spinning Co. Pty. Ltd.
R97/N/21PFL/PT,Fountain Drain Polished + Cone,Beta Metal Spinning Co. Pty. Ltd.
R122/N/34AWM/FX,Support Ring Water Meter,Bredo Mators Pty. Ltd.
R129/W/AC,Universal Tap Body Eco Brass,Bredo Mators Pty. Ltd.
R59/W/10ADG/FL,Dog Bowl Nozzle Stainless Steel (303/304),Bredo Mators Pty. Ltd.
R110/W/29PCA/AV,O-Ring Bulkhead 16mm x 2mm for 1/4,BSC Motion Technology
R217/W/AV,OR019x3N70AS4020 O-Ring,BSC Motion Technology
R222/W/LB,Molykote 100gram Dow Corning 111 Compound,BSC Motion Technology
R71/W/AV,O-Ring 6mm 6 x 10 x 2 DURO 70 AS 4020,BSC Motion Technology
R72/W/AV,O-Ring 6mm 6 x 11 x 2.5 DURO 70 AS 4020,BSC Motion Technology
R73/W/12PTF/AV,O-Ring 8m 8 x 12 x 2 DURO 70 AS 4020,BSC Motion Technology
R193/W/FL,316 S/S Vandal Proof Male Garden Tap 15mm,Bunnings - Port Melbourne
MN-F0,Maintenance Filter,aquaBUBBLER
MN-F0-10,Filter Replacement Kit,aquaBUBBLER
R106/W/FL,PLV Plastic 3/8 D 550 kpa,BWT Australia
R218/W/7AF0/FL,Filter Cartridge Mini Carbon Block & Sediment Filter 10 Snaplock,BWT Australia
R219/W/7AF0/FL,Filter Mini Snaplock Manual Head,BWT Australia
R220/N/FX,Filter Mini Snaplock Mounting Bracket,BWT Australia
R25/N/20PF0/FL,Filter Head,BWT Australia
R258/W/FL,BWT ULTRO Filter Cartridge Carbon FIBRON 5 + AS 3497 - 2021 WM 022099,BWT Australia
R260/N/FX,BWT ULTRO Filter Head No Bkt W+M,BWT Australia
R51/W/7AF0/FL,Filter Cartridge Carbon Block & Sediment Filter 10 WM,BWT Australia
R55/W/9AFT/FL,Twin Filtration System AB45,BWT Australia
R161/N/FX,M6 x 65mm S/S Set Screw,Cost Less Bolts
R162/N/FX,M6 S/S Spring Washer,Cost Less Bolts
R163/N/FX,M6 S/S Nylock Nut,Cost Less Bolts
R164/N/FX,M4 x 12mm Pan Phillips,Cost Less Bolts
R165/N/FX,M7 Hex Nut,Cost Less Bolts
R166/N/FX,M6 S/S Washer,Cost Less Bolts
R212/N/FX,M6x16 Button Post Torx M/T 304 S/S,Cost Less Bolts
R213/N/FX,#8x1 SS Countersunk Head Post Torx - Self Tapper,Cost Less Bolts
R214/N/FX,M6x40mm Countersunk Post Torx Screw,Cost Less Bolts
R215/N/FX,M6x16mm Mushroom Head Phillips Button Screw,Cost Less Bolts
R216/N/FX,SS Rivet 4.8dia x 3.2grip dome head,Cost Less Bolts
R38/N/FX,Screw Stainless Steel Countersunk Post Torx Machine (304) M6 x 16,Cost Less Bolts
R53/N/FX,M6 S/S 304 Hex Nut,Cost Less Bolts
Mouldem Printing cost,Printing set up cost,Duragraf
Mouldem Printing cost for additional graphics,Printing cost for each additional aquaBUBBLERs,Duragraf
R34/N/4ABS14/FL,Waste 40x50mm BRS CP : 71092,Elson Australiasia Pty Ltd
R123/W/34AWM/ID,Water Meter Measuring Cold Potable Water 15mm,Elster Metering Pty. Ltd.
AB/C15,aquaBUBBLER Chiller 15L,Frigmac
AB/C3,aquaBUBBLER Chiller 3L,Frigmac
AB/C7,aquaBUBBLER Chiller 7.5L,Frigmac
R159/N/1AB12/ID,Quality Check Card,FRP Printing PTY LTD
R175/N/ID,Hands Free Retro-Fit Sticker,FRP Printing PTY LTD
R18/N/1AB12/ID,Card for Adjusting Water Pressure 250gsm,FRP Printing PTY LTD
R19/N/1AB12/ID,Printable Card - Fill the Pod 250gsm,FRP Printing PTY LTD
R31/N/2ABUA13/ID,Printable Card Tighten Bolts Tag 250gsm,FRP Printing PTY LTD
R30/N/2ABUA13/FL,Hose Siphon Petrol Transfer 18mm with Anti Static Strip 50m,Hose Factory
R250/N/1AB12/PT,Delivery Box Carton for ABWR21 330W x 620D x 240H mm,Imperial Cartons
R111/W/29PCA/FL,Pressure Relief Valve,Krs Valves Pty. Ltd.
R221/N/FX,1mm x 19 strand S/S wire rope. 50M Roll,Low Cost Wire
R254/N/FX,1.2mm Wire Swages / Crimps,Low Cost Wire
R75/W/AV,Spring Stainless Steel (304),Marsh Springs
R119/N/19PDGB/FX,Cup Head Bolt Stainless Steel (316) for Dog Bowl M8 x 30,Micro Fasteners Pty. Ltd
R12/N/1AB12/FL,Torx Security Screw 8g Dish and Mesh Button (304) Stainless Steel 8g x 1/2,Micro Fasteners Pty. Ltd
R124/N/34AWM/ID,Button Socket Screw Plain for Water Meter M5 x 10mm,Micro Fasteners Pty. Ltd
R13/N/1AB12/FX,Pop Rivets 3.2mm x 8.2mm Domed Head Aluminium,Micro Fasteners Pty. Ltd
R14/N/1AB12/FX,Button Socket Zinc Plated M8 x 20mm,Micro Fasteners Pty. Ltd
R140/N/35AEB/FX,Hex Bolts Stainless Steel M10 x 20mm (304),Micro Fasteners Pty. Ltd
R141/N/35AEB/FX,Washers Stainless Steel M10 (304),Micro Fasteners Pty. Ltd
R15/N/1AB12/FX,Mudguard Washers Zinc Plated for Side Pod 5/16 x 1 x 16g,Micro Fasteners Pty. Ltd
R205/N/1AB12/FX,Pop Rivets 3.2mm x 6.4mm Domed Head S/S,Micro Fasteners Pty. Ltd
R241/N/1AB12/FX,Pop Rivets 4.8mm x 19mm Grip  Domed Head,Micro Fasteners Pty. Ltd.
R256/N/FX,M4 x 10mm Countersunk Head Phillips 304 S/S,Micro Fasteners Pty. Ltd.
R263/N/19PDGB/FX,Nut M8 Stainless Steel (304) for Dog Bowl,Micro Fasteners Pty. Ltd.
R37/N/4ABS14/FX,Pop Rivet 4.8mm x 12.7mm,Micro Fasteners Pty. Ltd.
R52/N/FX,Security Screw Countersunk Post Torx M6 x 20 (304),Micro Fasteners Pty. Ltd.
R60/N/10ADG/FX,Roll Spring Pin 12 Stainless Steel (420) 1/8 x 1/2,Micro Fasteners Pty. Ltd.
R74/W/17PDGT/FL,Red Fibre Washer 15.875mm x 25.4mm x 1.5mm 12,Micro Fasteners Pty. Ltd.
R86/N/FX,M6 Rivnut CSK,Micro Fasteners Pty. Ltd.
R192/N/FX,Security Screwdriver T15 Post Torx,Ningbo Tango Tree Tools Co.  Ltd
R204/N/FX,Security Screwdriver T30 Post Torx,Ningbo Tango Tree Tools Co.  Ltd
M129/AP4/N/4ABS14T/ID,Standard Panel 1.9mm Ployrop  Panel Size  - 1150mmx445mm  Visible print area - 1100mmx422mm  Finish - Gloss Anti Graffiti Laminate Single Sided,Peak Digital
M130/AP5/N/4ABS14T/ID,Standard Panel 1.9mm Ployrop  Panel Size  - 1150mmx445mm  Visible print area - 1100mmx422mm  Finish - Gloss Anti Graffiti Laminate Single Sided,Peak Digital
M131/AP6/N/4ABS14T/ID,Standard Panel 1.9mm Ployrop  Panel Size  - 1150mmx445mm  Visible print area - 1100mmx422mm  Finish - Gloss Anti Graffiti Laminate Single Sided,Peak Digital
M132/AP7/N/4ABS14T/ID,Standard Panel 1.9mm Ployrop  Panel Size  - 1150mmx445mm  Visible print area - 1100mmx422mm  Finish - Gloss Anti Graffiti Laminate Single Sided,Peak Digital
M133/AP8/N/4ABS14T/ID,Standard Panel 1.9mm Ployrop  Panel Size  - 1150mmx445mm  Visible print area - 1100mmx422mm  Finish - Gloss Anti Graffiti Laminate Single Sided,Peak Digital
M134/AP9/N/4ABS14T/ID,Standard Panel 1.9mm Ployrop  Panel Size  - 1150mmx445mm  Visible print area - 1100mmx422mm  Finish - Gloss Anti Graffiti Laminate Single Sided,Peak Digital
M135/AP10/N/4ABS14T/ID,Standard Panel 1.9mm Ployrop  Panel Size  - 1150mmx445mm  Visible print area - 1100mmx422mm  Finish - Gloss Anti Graffiti Laminate Single Sided,Peak Digital
M136/AP11/N/4ABS14T/ID,Standard Panel 1.9mm Ployrop  Panel Size  - 1150mmx445mm  Visible print area - 1100mmx422mm  Finish - Gloss Anti Graffiti Laminate Single Sided,Peak Digital
M137/BP/N/4ABS14T/ID,Blank Panel 1.9mm Ployrop  Panel Size  - 1150mmx445mm  Visible print area - 1100mmx422mm  Finish - Gloss Anti Graffiti Laminate Single Sided,Peak Digital
M138/CP/N/4ABS14T/ID,Customised Panel 1.9mm Ployrop  Panel Size  - 1150mmx445mm  Visible print area - 1100mmx422mm  Finish - Gloss Anti Graffiti Laminate Single Sided,Peak Digital
R144/N/36PIG/ID,Printable Install Guide in this Box Sticker,PMS Lithography
R200/N/1AB12/FX,1/2 BSP Backing Nut 316 S/S,PMS Litography
R21/N/1AB12/ID,Printable Sticker Plate Important Base - Mounting,PMS Litography
S96/TRF96/POL,Service - Polishing Brush Satin Fountain Dish Stainless Steel,Precision Plating (Aust) Pty. Ltd.
R107/W/FL,Branch Stem Tee 1/4,Reliance Worldwide Corporation Pty. Ltd
R108/W/FL,Straight Connector Reducing  3/8 - 1/4,Reliance Worldwide Corporation Pty. Ltd
R109/W/FL,Stem Elbow 1/4 x 1/4,Reliance Worldwide Corporation Pty. Ltd
R112/W/29PCA/FL,Tee Connector Equal for Micro Chiller 1/4,Reliance Worldwide Corporation Pty. Ltd
R113/W/29PCA/FL,Reducer 3/8 Stem - 1/4 Tube,Reliance Worldwide Corporation Pty. Ltd
R114/W/29PCA/FL,Bulkhead Connector 1/4,Reliance Worldwide Corporation Pty. Ltd
R125/W/33PMWIC7/C15/FL,Straight Adaptor 3/8 x 1/2 bsp  7/15L Chiller Connection,Reliance Worldwide Corporation Pty. Ltd
R167/W/FL,Pipe 1/4 LLDPE Tubing - Black 500ft,Reliance Worldwide Corporation Pty. Ltd
R169/W/FL,Straight Adaptor  1/4 x 1/4 BSP,Reliance Worldwide Corporation Pty. Ltd
R170/W/FL,Plug 1/4 AB||26,Reliance Worldwide Corporation Pty. Ltd
R176/N/FL,Stem Elbow 3/8 - 1/4,Reliance Worldwide Corporation Pty. Ltd
R178/N/FL,Female Adaptor 3/8 x 1/2 bsp - Flat End,Reliance Worldwide Corporation Pty. Ltd
R261/N/FL,Tap adaptor 3/4 tube OD x 3/4 BSP thread,Reliance Worldwide Corporation Pty. Ltd
R265/W/FL,1/4 Union Coupling PI0408S,Reliance Worldwide Corporation Pty. Ltd
R32/W/20PF0/FL,Stem Elbow 3/8 - 3/8,Reliance Worldwide Corporation Pty. Ltd
R44/W/6AC3/FL,Shut Off Valve 1/4 - 1/4,Reliance Worldwide Corporation Pty. Ltd
R45/W/6AC3/FL,Tap Adaptor  1/4 x 1/2BSP,Reliance Worldwide Corporation Pty. Ltd
R49/W/FL,Shut Off Valve 3/8 - 3/8,Reliance Worldwide Corporation Pty. Ltd
R50/W/FL,Tap Adaptor 3/8 x 1/2 bsp,Reliance Worldwide Corporation Pty. Ltd
R54/W/FL,Pipe 3/8 LLDPE Tube - Blue,Reliance Worldwide Corporation Pty. Ltd
R87/W/FL,Stem Adaptor 3/8 - 3/8 bsp,Reliance Worldwide Corporation Pty. Ltd
R95/W/16PVA/FL,Equal Tee - Piece 3/8,Reliance Worldwide Corporation Pty. Ltd
ABB700DB,ROI-A2-BO-700 Dark Blue,ROI
ABB700DG,ROI-A9-BO-700 Dark Green,ROI
ABB700LB,ROI-A7-BO-700 Light Blue,ROI
ABB700LG,ROI-A4-BO-700 Lime Green,ROI
ABB700MB,ROI-B1-BO-700 Mountain Blue,ROI
ABB700MO,ROI-A1-BO-700 Monument,ROI
ABB700PU,ROI-B2-BO-700 Purple,ROI
ABB700SO,ROI-A6-BO-700 Stock Orange,ROI
ABB700SR,ROI-A3-BO-700 Stock Red,ROI
ABB700SW,ROI-B3-BO-700 Stock White,ROI
ABB700SY,ROI-A5-BO-700 Stock Yellow,ROI
ABB700TE,ROI-A8-BO-700 Teal,ROI
ABB800DB,ROI-A2-BO-800 Dark Blue,ROI
ABB800DG,ROI-A9-BO-800 Dark Green,ROI
ABB800LB,ROI-A7-BO-800 Light Blue,ROI
ABB800LG,ROI-A4-BO-800 Lime Green,ROI
ABB800MB,ROI-B1-BO-800 Mountain Blue,ROI
ABB800MO,ROI-A1-BO-800 Monument,ROI
ABB800PU,ROI-B2-BO-800 Purple,ROI
ABB800SO,ROI-A6-BO-800 Stock Orange,ROI
ABB800SR,ROI-A3-BO-800 Stock Red,ROI
ABB800SW,ROI-B3-BO-800 Stock White,ROI
ABB800SY,ROI-A5-BO-800 Stock Yellow,ROI
ABB800TE,ROI-A8-BO-800 Teal,ROI
ABBWRDB,ROI-A2-WR Dark Blue,ROI
ABBWRLB,ROI-A7-WR Light Blue,ROI
ABBWRLG,ROI-A4-WR Lime Green,ROI
ABBWRMB,ROI-B1-WR Mountain Blue,ROI
ABBWRMO,ROI-A1-WR Monument,ROI
ABBWRPU,ROI-B2-WR Purple,ROI
ABBWRSR,ROI-A3-WR Stock Red,ROI
ABBWRSW,ROI-B3-WR Stock White,ROI
ABBWRTE,ROI-A8-WR Teal,ROI
ABBWRTO,ROI-A6-WR Tiger Orange,ROI
ABEB250DB,ROI-A2-EB-250 Dark Blue,ROI
ABEB250DG,ROI-A9-EB-250 Dark Green,ROI
ABEB250DP,ROI-B2-EB-250 Deep Purple,ROI
ABEB250LB,ROI-A7-EB-250 Light Blue,ROI
ABEB250LG,ROI-A4-EB-250 Lime Green,ROI
ABEB250MB,ROI-B1-EB-250 Mountain Blue,ROI
ABEB250MO,ROI-A1-EB-250 Monument,ROI
ABEB250SR,ROI-A3-EB-250 Stock Red,ROI
ABEB250SW,ROI-B3-EB-250 Stock White,ROI
ABEB250SY,ROI-A5-EB-250 Stock Yellow,ROI
ABEB250TE,ROI-A8-EB-250 Teal,ROI
ABEB250TO,ROI-A6-EB-250 Tiger Orange,ROI
ABFPDB,ROI-A2-FP Dark Blue,ROI
ABFPDG,ROI-A9-FP Dark Green,ROI
ABFPLB,ROI-A7-FP Light Blue,ROI
ABFPLG,ROI-A4-FP Lime Green,ROI
ABFPMB,ROI-B1-FP Mountain Blue,ROI
ABFPMO,ROI-A1-FP Monument,ROI
ABFPPU,ROI-B2-FP Purple,ROI
ABFPSO,ROI-A6-FP Stock Orange,ROI
ABFPSR,ROI-A3-FP Stock Red,ROI
ABFPSW,ROI-B3-FP Stock White,ROI
ABFPSY,ROI-A5-FP Stock Yellow,ROI
ABFPTE,ROI-A8-FP Teal,ROI
ABSPDB,ROI-A2-SP Dark Blue,ROI
ABSPDG,ROI-A9-SP Dark Green,ROI
ABSPLB,ROI-A7-SP Light Blue,ROI
ABSPLG,ROI-A4-SP Lime Green,ROI
ABSPMB,ROI-B1-SP Mountain Blue,ROI
ABSPMO,ROI-A1-SP Monument,ROI
ABSPPU,ROI-B2-SP Purple,ROI
ABSPSO,ROI-A6-SP Stock Orange,ROI
ABSPSR,ROI-A3-SP Stock Red,ROI
ABSPSW,ROI-B3-SP Stock White,ROI
ABSPSY,ROI-A5-SP Stock Yellow,ROI
ABSPTE,ROI-A8-SP Teal,ROI
ABT1300DB,ROI-A2-RS-1300 Dark Blue Refill Station,ROI
ABT1300DG,ROI-A9-RS-1300 Dark Green Refill Station,ROI
ABT1300LB,ROI-A7-RS-1300 Light Blue Refill Station,ROI
ABT1300MO,ROI-A1-RS-1300 Monument Refill Station,ROI
ABT1300SO,ROI-A6-RS-1300 Stock Orange Refill Station,ROI
ABT1300SR,ROI-A3-RS-1300 Stock Red Refill Station,ROI
ABT1300SY,ROI-A5-RS-1300 Stock Yellow Refill Station,ROI
ABT1300TE,ROI-A8-RS-1300 Teal Refill Station,ROI
ABT1500DB,ROI-A2-RS-1500 Dark Blue Refill Station,ROI
ABT1500DG,ROI-A9-RS-1500 Dark Green Refill Station,ROI
ABT1500LB,ROI-A7-RS-1500 Light Blue Refill Station,ROI
ABT1500LG,ROI-A4-RS-1500 Lime Green Refill Station,ROI
ABT1500MB,ROI-B1-RS-1500 Mountain Blue Refill Station,ROI
ABT1500MO,ROI-A1-RS-1500 Monument Refill Station,ROI
